PRESSURE,TEMPERATURE,SALINITY,OXYGEN
5.254,20.5058,33.7963,225.27631
5.299,20.5076,33.7963,225.26875
5.305,20.5071,33.7959,225.27124
5.35,20.5088,33.796,225.26436
5.405,20.5088,33.7961,225.26419
5.479,20.5083,33.7961,225.26612
5.488,20.5046,33.7964,225.28082
5.495,20.5078,33.7962,225.268
5.629,20.5118,33.7958,225.25254
55.355,16.9655,33.577,240.87922
55.677,16.955,33.5764,240.92876
55.689,16.9497,33.5769,240.952
55.719,16.9361,33.5738,241.01955
55.772,16.953,33.5787,240.93394
60.004,16.2889,33.5424,244.08206
65.311,15.8356,33.5094,246.28998
110.7,13.0626,34.0198,259.35062
110.935,13.0607,34.0205,259.35949
111.226,13.0574,34.0226,259.37317
120.835,12.9461,34.1401,259.74912
150.59,12.4032,34.4624,262.06459
151.621,12.4044,34.4611,262.06045
152.359,12.4026,34.4626,262.0673
201.417,11.7911,34.5868,265.17714
2.644,23.8246,34.3862,211.75303
2.897,23.7757,34.3854,211.93076
2.981,23.7916,34.3852,211.87361
2.989,23.7786,34.3856,211.92005
2.994,23.786,34.386,211.89285
3.01,23.7733,34.3854,211.93938
3.098,23.829,34.3864,211.73682
3.099,23.8212,34.3863,211.76531
3.128,23.8242,34.3861,211.75463
3.143,23.7875,34.3864,211.88667
3.195,23.8257,34.3864,211.74879
20.28,23.776,34.4453,211.84688
40.341,22.6992,34.1885,216.16529
50.449,20.8569,33.8843,223.73283
50.639,20.8164,33.8764,223.90671
55.545,19.9783,33.9457,227.20268
60.052,19.7476,33.9606,228.13319
70.211,20.7821,34.6852,222.8461
90.084,17.5226,34.7705,236.42578
100.629,16.7133,34.7999,240.03208
100.656,16.7142,34.8,240.0278
120.819,15.0207,34.7014,248.20007
141.45,14.2378,34.7268,252.03222
141.571,14.2365,34.7262,252.03985
151.834,13.3879,34.6577,256.49488
202.171,12.6611,34.7495,260.1525
202.531,12.6557,34.7486,260.18317
252.051,11.4656,34.6735,266.82225
252.355,11.4631,34.6735,266.83631
277.321,11.0088,34.6503,269.44352
277.461,11.0096,34.6505,269.43898
302.724,10.5802,34.6403,271.92424
302.751,10.576,34.6393,271.95042
326.645,10.0451,34.5911,275.15358
326.694,10.0426,34.5914,275.16815
350.841,9.575,34.5676,278.00988
351.071,9.5719,34.5676,278.02815
402.817,8.6404,34.5176,283.85854
403.034,8.6418,34.5181,283.84911
503.484,7.5272,34.4862,291.0653
503.821,7.5172,34.4852,291.13317
655.363,6.3126,34.4909,299.23195
857.535,5.0361,34.4997,308.26656
857.646,5.0358,34.4998,308.26851
1008.717,4.4182,34.5219,312.77735
1262.528,3.5918,34.5598,318.97961
1483.189,3.1002,34.5837,322.77206
1010,4.5123,34.517,312.08618
1010,4.5123,34.517,312.08618
867,5.0407,34.484,308.2694
655,6.3312,34.4843,299.11819
502.5,7.73275,34.48305,289.7281
401,9.206133333,34.5435,280.3002533
352,9.9502,34.5852,275.72773
301,10.8556,34.6413,270.33554
281.5,11.32035,34.6885,267.609185
281.25,11.408075,34.70135,267.0900925
262,11.6994,34.7177,265.43785
201,12.5471,34.6491,260.94607
175.5,13.1453,34.66215,257.752075
160,13.455,34.6615,256.14106
140,13.2802,34.3113,257.67524
120,13.1224,33.6541,259.69925
90,16.2069,33.525,244.48405
65,18.304,33.5835,234.86222
60,20.3242,33.9074,225.8296
3,25.3189,34.5977,206.20855
3,25.3189,34.5977,206.20855
3,25.3189,34.5977,206.20855
3,25.3189,34.5977,206.20855
3,25.3189,34.5977,206.20855
3.845,25.7962,34.6866,204.46491
65.472,24.3916,35.1254,208.72511
70.474,24.0901,35.0363,209.91225
75.191,20.0564,34.128,226.60699
100.383,17.3885,34.411,237.60348
170.889,13.0323,34.6974,258.28157
226.713,12.1114,34.7304,263.15092
227.695,12.115,34.7308,263.1309
251.054,11.7499,34.7187,265.15675
251.411,11.7501,34.7187,265.15598
276.778,11.1483,34.6685,268.61709
