PRESSURE,TEMPERATURE,SALINITY,OXYGEN SAT
5.35,20.5088,33.796,225.26436
5.405,20.5088,33.7961,225.26419
5.479,20.5083,33.7961,225.26612
5.488,20.5046,33.7964,225.28082
5.495,20.5078,33.7962,225.268
5.629,20.5118,33.7958,225.25254
55.355,16.9655,33.577,240.87922
55.677,16.955,33.5764,240.92876
55.689,16.9497,33.5769,240.952
55.719,16.9361,33.5738,241.01955
55.772,16.953,33.5787,240.93394
60.004,16.2889,33.5424,244.08206
65.311,15.8356,33.5094,246.28998
110.7,13.0626,34.0198,259.35062
110.935,13.0607,34.0205,259.35949
111.226,13.0574,34.0226,259.37317
120.835,12.9461,34.1401,259.74912
150.59,12.4032,34.4624,262.06459
151.621,12.4044,34.4611,262.06045
152.359,12.4026,34.4626,262.0673
201.417,11.7911,34.5868,265.17714
2.644,23.8246,34.3862,211.75303
100.629,16.7133,34.7999,240.03208
100.656,16.7142,34.8,240.0278
120.819,15.0207,34.7014,248.20007
141.45,14.2378,34.7268,252.03222
141.571,14.2365,34.7262,252.03985
